ROI_INDEX	TISSUE_SEG	ROI_NAME	MINA_C32_mapped	MINA_C32_mapped_OI	MINA_C64_mapped	MINA_C64_mapped_OI	MINA_C128_mapped	MINA_C128_mapped_OI	MINA_C256_mapped	MINA_C256_mapped_OI	MINA_C512_mapped	MINA_C512_mapped_OI	MINA_C1024_mapped	MINA_C1024_mapped_OI
173	GM	Left PIns  posterior insula	C2	0.30656934306569344	C2	0.9233576642335767	C2	0.6058394160583942	C2	0.38686131386861317	C466	0.31386861313868614	C822	0.15328467153284672
174	GM	Right PO    parietal operculum	C2	0.5164319248826291	C2	0.7276995305164319	C90	0.5868544600938967	C146	0.539906103286385	C232	0.4413145539906103	C588	0.3380281690140845
175	GM	Left PO    parietal operculum	C2	0.4612546125461255	C2	0.5904059040590406	C90	0.5239852398523985	C90	0.46863468634686345	C383	0.36531365313653136	C671	0.2177121771217712
176	GM	Right PoG   postcentral gyrus	C31	0.586784140969163	C62	0.3585903083700441	C124	0.18237885462555067	C207	0.16651982378854627	C496	0.15330396475770924	C207	0.14537444933920704
177	GM	Left PoG   postcentral gyrus	C31	0.5794183445190156	C58	0.30201342281879195	C67	0.2639821029082774	C167	0.18046234153616703	C176	0.13795674869500374	C167	0.11483967188665176
178	GM	Right POrG  posterior orbital gyrus	C10	0.949468085106383	C10	0.9946808510638298	C97	0.39893617021276595	C241	0.2473404255319149	C425	0.22606382978723405	C447	0.18882978723404256
179	GM	Left POrG  posterior orbital gyrus	C10	0.9595687331536388	C10	0.9164420485175202	C10	0.39892183288409705	C200	0.33962264150943394	C344	0.16711590296495957	C403	0.16442048517520216
180	GM	Right PP    planum polare	C2	0.4192139737991266	C2	0.7467248908296943	C2	0.6200873362445415	C2	0.5633187772925764	C363	0.31004366812227074	C465	0.17903930131004367
181	GM	Left PP    planum polare	C30	0.3869565217391304	C2	0.6521739130434783	C2	0.41739130434782606	C2	0.43478260869565216	C466	0.28695652173913044	C466	0.21739130434782608
182	GM	Right PrG   precentral gyrus	C16	0.5169934640522876	C62	0.28366013071895424	C124	0.2522875816993464	C76	0.1450980392156863	C86	0.10392156862745099	C414	0.09411764705882353
183	GM	Left PrG   precentral gyrus	C16	0.4738675958188153	C62	0.31567944250871083	C96	0.18327526132404182	C119	0.1470383275261324	C259	0.14494773519163764	C515	0.11149825783972125
184	GM	Right PT    planum temporale	C2	0.5590909090909091	C2	0.5454545454545454	C90	0.39090909090909093	C146	0.29545454545454547	C279	0.2545454545454545	C237	0.19545454545454546
185	GM	Left PT    planum temporale	C2	0.484251968503937	C2	0.5	C90	0.5078740157480315	C90	0.4448818897637795	C90	0.2283464566929134	C262	0.1889763779527559
186	GM	Right SCA   subcallosal area	C10	0.9212121212121213	C10	0.8121212121212121	C10	0.8121212121212121	C251	0.8666666666666667	C451	0.47878787878787876	C773	0.21212121212121213
187	GM	Left SCA   subcallosal area	C10	0.9176470588235294	C10	0.8647058823529412	C10	0.8529411764705882	C251	0.8941176470588236	C283	0.4	C861	0.28823529411764703
190	GM	Right SFG   superior frontal gyrus	C16	0.6505211526670754	C49	0.23727774371551197	C49	0.22624156958920907	C210	0.15021459227467812	C198	0.11465358675659104	C526	0.10484365419987737
191	GM	Left SFG   superior frontal gyrus	C16	0.6740196078431373	C37	0.3492647058823529	C71	0.19362745098039216	C74	0.1488970588235294	C74	0.1213235294117647	C74	0.11580882352941177
