IDP	trait	Pvalue	ES
C1024_608	AD	8.677526244571126e-26	0.0625291690049566
C1024_611	AD	2.9753433814417116e-05	0.0096362370905598
C1024_613	AD	4.4475863481442715e-40	0.1014499623350707
C1024_615	AD	1.0445045492359852e-29	0.0730568595419681
C1024_616	AD	3.451779726718433e-07	0.0143971019212755
C1024_619	AD	1.0171974510892488e-05	0.0107751239805551
C1024_621	AD	4.428314334599306e-21	0.050056937138389
C1024_624	AD	7.941083098422039e-12	0.0260750248916334
C1024_626	AD	1.0865879633661331e-06	0.0131610049607939
C1024_630	AD	9.319637702200318e-15	0.033580687041125
C1024_631	AD	8.706273772754229e-07	0.0134016689413673
C1024_633	AD	2.640146193399609e-06	0.0122118019700375
C1024_635	AD	2.6150329457795656e-107	0.3054137745038425
C1024_636	AD	2.507716635669252e-13	0.0299047238375624
C1024_637	AD	1.888393173798285e-96	0.2700417669833277
C1024_639	AD	8.484330003056642e-119	0.343946478746539
C1024_640	AD	2.7793545864914034e-26	0.0638553912946519
C1024_641	AD	5.4762323557070676e-17	0.0393513682802595
C1024_643	AD	1.0656873919253026e-101	0.2870046598054221
C1024_648	AD	1.6262323961785691e-06	0.0127291665329896
C1024_649	AD	1.5868852107665696e-05	0.0103024439505991
C1024_650	AD	2.334800316746842e-09	0.0198194228568493
C1024_654	AD	1.3532790817110658e-84	0.232511318844181
C1024_655	AD	1.1033738856636e-125	0.3675844964467236
C1024_658	AD	9.20242180727484e-77	0.2083379729572661
C1024_660	AD	1.740549352750078e-105	0.2994013422662299
C1024_661	AD	1.9205649626118303e-92	0.25723089699825
C1024_662	AD	1.039250337190608e-08	0.0181882511525008
C1024_663	AD	6.732525833707577e-11	0.023715334154928
C1024_664	AD	8.461215322290341e-16	0.0362757649223054
C1024_666	AD	1.8017487611893583e-79	0.2166397655748601
C1024_667	AD	4.704111977678276e-09	0.0190536055197144
C1024_668	AD	1.6838168030140484e-63	0.1685093693942205
C1024_670	AD	1.142573105140744e-47	0.1227333816483736
C1024_671	AD	9.371499858282941e-13	0.0284375965645287
C1024_672	AD	3.674627739230153e-20	0.0476406188239305
C1024_673	AD	7.22812094780158e-76	0.2056080751421179
C1024_674	AD	4.809199284994167e-20	0.047332289533625
C1024_675	AD	4.851559782887846e-23	0.0552274529154242
C1024_676	AD	1.4113436583877103e-20	0.0487281938018786
C1024_680	AD	1.1730320007031517e-17	0.0410989303686279
C1024_681	AD	7.061447207305633e-06	0.0111642766410216
C1024_686	AD	3.869913351734192e-17	0.0397465997598336
C1024_687	AD	2.004177570426448e-25	0.0615634853794911
C1024_688	AD	6.266207607161116e-62	0.1638938311279704
C1024_689	AD	1.0666018291836513e-104	0.2968141142180731
C1024_691	AD	1.5522530350744199e-124	0.3636162183066544
C1024_694	AD	3.1859951809072225e-33	0.0825818325799928
C1024_695	AD	1.3247537701346467e-10	0.0229699064777445
C1024_697	AD	1.064997702782298e-06	0.0131814390166383
C1024_698	AD	3.422359863701366e-117	0.3384912858614928
C1024_699	AD	2.6983639068580053e-09	0.0196637542835445
C1024_700	AD	9.288786212906452e-19	0.0439711059785368
C1024_702	AD	1.92082914723324e-27	0.0669593857724907
C1024_703	AD	1.576985937815769e-113	0.3261213500913514
C1024_705	AD	1.9695441113600212e-14	0.0327440934383636
C1024_706	AD	3.741128004221186e-135	0.4007776427864909
C1024_707	AD	5.616840672668909e-07	0.0138719465529
C1024_709	AD	1.5072128082695152e-10	0.0228261236086332
C1024_710	AD	4.0351226071555664e-08	0.0167153893927757
C1024_712	AD	3.2980410697738812e-43	0.11016922184275
C1024_713	AD	3.7075104416570202e-09	0.0193174629130674
C1024_716	AD	2.1961280936041892e-97	0.2730384388945514
C1024_717	AD	4.2067849504642405e-07	0.0141828047348775
C1024_718	AD	1.3138559990561498e-06	0.0129610503855287
C1024_719	AD	1.594398277327209e-06	0.0127505923415405
C1024_720	AD	6.462426098183205e-06	0.0112561280806085
C1024_722	AD	1.3860119608580358e-10	0.0229199136198109
C1024_723	AD	4.381409460756066e-131	0.386414894064743
C1024_724	AD	3.5997261862768248e-22	0.0529283897754658
C1024_725	AD	3.471357870070304e-43	0.1101019655024559
C1024_726	AD	5.289324359521416e-148	0.4471207859693462
C1024_727	AD	8.468285187383125e-17	0.0388622110866953
C1024_729	AD	3.134978909551132e-05	0.0095822501808585
C1024_730	AD	3.021829385071606e-24	0.0584237821674106
C1024_731	AD	9.993904938287796e-45	0.1144322029220256
C1024_735	AD	1.3562702968604827e-14	0.0331619082993743
C1024_736	AD	1.691744863017012e-06	0.0126886267091186
C1024_738	AD	6.932303620504595e-107	0.3040300642058438
C1024_739	AD	4.8362512402411295e-30	0.0739588350217421
C1024_740	AD	3.698071226754066e-26	0.0635243687611435
C1024_741	AD	4.39421678802446e-69	0.1851226738416858
C1024_742	AD	7.487288783879458e-17	0.0390024411271278
C1024_743	AD	2.0878740943256903e-32	0.0803618350626988
C1024_745	AD	3.86787467597469e-153	0.4660488653766779
C1024_746	AD	1.8987414692645253e-63	0.168351341577753
C1024_747	AD	9.895049381975093e-30	0.073118286706919
C1024_748	AD	1.3563537064493837e-65	0.1747060140949577
C1024_749	AD	2.1302923233433974e-05	0.0099893774247455
C1024_750	AD	1.905925064365604e-25	0.0616188741373038
C1024_751	AD	1.6012630574848432e-16	0.038143264125315
C1024_752	AD	1.2291797417644685e-116	0.3366136539857534
C1024_754	AD	2.28251030670587e-174	0.5470980052010677
C1024_755	AD	9.438785761936704e-07	0.0133126594130294
C1024_756	AD	6.0757192179523686e-30	0.0736842255798136
C1024_757	AD	7.851380528156246e-10	0.0210150075802338
C1024_758	AD	5.39146778566951e-18	0.0419752229325655
C1024_759	AD	2.614662372093401e-06	0.0122243384332807
C1024_760	AD	1.8851830351794758e-33	0.0832065109960778
C1024_761	AD	2.47143466535011e-13	0.0299244077869781
